,a
837,"E. Rottier (21, Eindhoven, Eerste Divisie 22-23)"
838,"A. Simon (33, Gyirmót, NB II 22-23)"
839,"J. Ribeiro (31, Torreense, Portugal Segunda Liga 22-23)"
840,"I. Lores Varela (32, Cittadella, Serie B 22-23)"
841,"M. Škoda (37, Mladá Boleslav, Czech Fortuna Liga 22-23)"
842,"O. Drost (27, Helsingør, Danish 1. Division 22-23)"
843,"Juan Carlos Real (32, Huesca, La Liga 2 22-23)"
844,"José Arnáiz (28, Leganés, La Liga 2 22-23)"
845,"B. Atik (28, Magdeburg, 2. Bundesliga 22-23)"
846,"Z. Museliani (23, Gagra, Erovnuli Liga 2023)"
847,"L. Garate (29, Unión Española, Chilean Primera División 2023)"
848,"J. Manconi (29, AlbinoLeffe, Serie C 22-23)"
849,"S. Infantino (36, Gelbison, Serie C 22-23)"
850,"Rafaelson (26, Binh Dinh, V League 1 2023)"
851,"V. Gyökeres (24, Coventry City, Championship 22-23)"
852,"M. Della Morte (23, Vicenza, Serie C 22-23)"
853,"L. Ghezali (23, Dinamo Bucureşti, Romanian Liga II 22-23)"
854,"M. Cháves (25, Churchill Brothers, I-League 22-23)"
855,"C. Ikwuemesi (21, Celje, 1. SNL 22-23)"
856,"M. Biron (25, RWD Molenbeek, Belgian First Division B 22-23)"
857,"S. Stanojlović (21, Novi Pazar, Serbian SuperLiga 22-23)"
858,"Y. Gomis (31, Aris, Cyprus 1. Division 22-23)"
859,"B. Pethő (24, Gyirmót, NB II 22-23)"
860,"R. Betancourth (31, Cobán Imperial, Guatemala Liga Nacional 22-23)"
861,"Gerard Deulofeu (29, Udinese, Serie A 22-23)"
862,"J. Eggestein (25, St. Pauli, 2. Bundesliga 22-23)"
863,"E. Wahi (20, Montpellier, Ligue 1 22-23)"
864,"D. Drăguş (23, Standard Liège, Belgian Pro League 22-23)"
865,"Jorge Molina (40, Granada, La Liga 2 22-23)"
866,"M. Sylla (29, Deportivo Alavés, La Liga 2 22-23)"
867,"J. Coburn (20, Bristol Rovers, League One 22-23)"
868,"Adrián Riera (26, Asteras Tripolis, Greek Super League 22-23)"
869,"V. Vanat (21, Dynamo Kyiv, Ukrainian Premier Liha 22-23)"
870,"M. Giménez (26, Necaxa, Liga MX 22-23)"
871,"Y. Mena (31, César Vallejo, Peruvian Liga 1 2023)"
872,"B. Stokke (32, Kristiansund, OBOS Ligaen 2023)"
873,"L. Openda (23, Lens, Ligue 1 22-23)"
874,"A. Rahmanović (29, Krylya Sovetov, Russian Premier League 22-23)"
875,"N. Venema (24, VVV Venlo, Eerste Divisie 22-23)"
876,"V. Oliver (31, Bradford City, League Two 22-23)"
877,"D. Zapata (32, Atalanta, Serie A 22-23)"
878,"G. Morandi (24, Grasshopper, Swiss Super League 22-23)"
879,"V. Beniangba (19, Genk II, Belgian First Division B 22-23)"
880,"V. Ambros (29, Petrocub, Moldovan Super Liga 22-23)"
881,"David Rodríguez (37, Rayo Majadahonda, Primera División RFEF 22-23)"
882,"C. McKee (20, Linfield, Northern Ireland Premiership 22-23)"
883,"T. Macheke (26, Moroka Swallows, South Africa PSL 22-23)"
884,"A. Milik (29, Juventus, Serie A 22-23)"
885,"Mikel Pradera (27, Amorebieta, Primera División RFEF 22-23)"
886,"M. Gómez (26, Boyacá Chicó, Colombian Primera Division 22-23)"
887,"A. Knaana (26, Maccabi Ahi Nazareth, Liga Leumit 22-23)"
888,"Vagner (27, RFC Seraing, Belgian Pro League 22-23)"
889,"R. Hebaj (24, Teuta Durrës, Albanian Premier League 22-23)"
890,"M. Chică-Roșă (24, Brașov Steagul Renaște, Romanian Liga II 22-23)"
891,"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)"
892,"B. Riascos (28, Marítimo, Primeira Liga 22-23)"
893,"I. Jebali (31, Gamba Osaka, J1 2023)"
894,"D. Antyukh (25, Zorya, Ukrainian Premier Liha 22-23)"
895,"A. Ilić (23, RFS, Virsliga 2023)"
896,"D. Ragatzu (31, Olbia, Serie C 22-23)"
897,"M. Obradović (31, Spartak Subotica, Serbian SuperLiga 22-23)"
898,"T. Tomiyama (32, Omiya Ardija, J2 2023)"
899,"S. Jaziri (30, Zamalek, Egyptian Premier League 22-23)"
900,"H. Abdallah (25, Excelsior Virton, Belgian First Division B 22-23)"
901,"V. Kušej (22, Mladá Boleslav, Czech Fortuna Liga 22-23)"
902,"J. Cooper (27, Linfield, Northern Ireland Premiership 22-23)"
903,"M. Malka (32, Hapoel Nof HaGalil, Liga Leumit 22-23)"
904,"Maurício Garcez (26, CSKA Sofia, Bulgarian First League 22-23)"
905,"Borja Iglesias (30, Real Betis, La Liga 22-23)"
906,"Wendel (22, Porto II, Portugal Segunda Liga 22-23)"
907,"J. Arak (28, Katowice, Polish I Liga 22-23)"
908,"K. Vaesen (22, Westerlo, Belgian Pro League 22-23)"
909,"G. Petrosyan (21, BKMA, Armenian Premier League 22-23)"
910,"Diego Maurício (31, Odisha, Indian Super League 22-23)"
911,"A. Hamdallah (32, Al Ittihad, Saudi Professional League 22-23)"
912,"I. Chaira (22, San Fernando, Primera División RFEF 22-23)"
913,"B. Ibraimi (36, Shkendija, North Macedonia First League 22-23)"
914,"S. Machino (23, Shonan Bellmare, J1 2023)"
915,"N. Giannetti (31, Carrarese, Serie C 22-23)"
916,"A. Čolak (29, Rangers, Scottish Premiership 22-23)"
917,"D. Gąska (26, Górnik Łęczna, Polish I Liga 22-23)"
918,"Arley Rodríguez (30, Deportivo Pereira, Colombian Primera Division 22-23)"
919,"G. Ganea (24, U Craiova 1948, SuperLiga României 22-23)"
920,"D. Petratos (30, ATK Mohun Bagan Football Club, Indian Super League 22-23)"
921,"J. Lukić (24, Borac Banja Luka, Bosnian Premier League 22-23)"
922,"A. Santarpia (22, Monterosi, Serie C 22-23)"
923,"B. Kaljević (37, Balzan, Malta Premier League 22-23)"
924,"S. Soumano (22, Rodez , Ligue 2 22-23)"
925,"N. Oduwa (27, Turan-T, Premyer Liqa 22-23)"
926,"J. Krasso (25, Saint-Étienne, Ligue 2 22-23)"
927,"N. Fernández (27, Defensa y Justicia, Argentinian Primera División 2023)"
928,"L. Bartha (36, Kozármisleny, NB II 22-23)"
929,"M. Mrkaić (32, Borac Banja Luka, Bosnian Premier League 22-23)"
930,"P. Utaka (39, Ventforet Kofu, J2 2023)"
931,"R. Ábila (33, Colón, Argentinian Primera División 2023)"
932,"D. Solanke (25, Bournemouth, Premier League 22-23)"
933,"G. Sio (34, Sion, Swiss Super League 22-23)"
934,"Camilo Sanvezzo (34, Toluca, Liga MX 22-23)"
935,"Felipe Amorim (32, Chiangrai United, Thai League 1 22-23)"
936,"M. Olunga (29, Al Duhail, Qatari Stars League 22-23)"
937,"Lucas Pérez (34, Deportivo La Coruña, Primera División RFEF 22-23)"
938,"M. Rosafio (29, Reggiana, Serie C 22-23)"
939,"A. Novakovich (26, Venezia, Serie B 22-23)"
940,"R. van Wolfswinkel (34, Twente, Eredivisie 22-23)"
941,"D. Rodríguez (20, Alajuelense, Costa Rica Primera División 22-23)"
942,"R. Huaccha (29, Sport Huancayo, Peruvian Liga 1 2023)"
943,"E. Lanini (29, Reggiana, Serie C 22-23)"
944,"P. Maiorino (33, Virtus Francavilla, Serie C 22-23)"
945,"S. Rodríguez (25, Instituto, Argentinian Primera División 2023)"
946,"A. Favilli (26, Ternana, Serie B 22-23)"
947,"M. Kaars (24, Helmond Sport, Eerste Divisie 22-23)"
948,"A. Serobyan (19, Ararat-Armenia, Armenian Premier League 22-23)"
949,"G. Berterame (24, Monterrey, Liga MX 22-23)"
950,"M. Seuntjens (31, RKC Waalwijk, Eredivisie 22-23)"
951,"D. Molinga (0, Al Shoalah, Saudi First Division 22-23)"
952,"A. Chyruk (22, Metalist 1925 Kharkiv, Ukrainian Premier Liha 22-23)"
953,"S. Ianesi (21, Pontedera, Serie C 22-23)"
954,"A. Porras (32, Guastatoya, Guatemala Liga Nacional 22-23)"
955,"A. Kamara (28, Aris, Greek Super League 22-23)"
956,"W. Bwalya (28, Al Qadisiyah, Saudi First Division 22-23)"
957,"M. Keita (23, Sabadell, Primera División RFEF 22-23)"
958,"R. Lewandowski (34, Barcelona, La Liga 22-23)"
959,"L. Cullen (24, Swansea City, Championship 22-23)"
960,"A. Semenyo (23, Bristol City, Championship 22-23)"
961,"N. Haskić (33, Velež, Bosnian Premier League 22-23)"
962,"André Pereira (28, Rio Ave, Primeira Liga 22-23)"
963,"Dani Romera (27, Real Murcia, Primera División RFEF 22-23)"
964,"J. Fletcher (24, Neroca, I-League 22-23)"
965,"F. Di Mariano (27, Palermo, Serie B 22-23)"
966,"F. Nicastro (31, Pontedera, Serie C 22-23)"
967,"K. Keqi (26, Marsaxlokk, Malta Premier League 22-23)"
968,"G. Sibilli (26, Pisa, Serie B 22-23)"
969,"L. De León (22, Celta de Vigo B, Primera División RFEF 22-23)"
970,"A. Armstrong (26, Southampton, Premier League 22-23)"
971,"P. Hamel (29, Paris, Ligue 2 22-23)"
972,"André Silva (27, RB Leipzig, Bundesliga 22-23)"
973,"Min-Kyu Joo (33, Ulsan Hyundai, K League 1 2023)"
974,"Carlos Cinta (24, Mérida AD, Primera División RFEF 22-23)"
975,"J. Afolabi (23, Bohemians, League of Ireland PL 2023)"
976,"R. Bobadilla (35, FC Schaffhausen, Swiss Challenge League 22-23)"
977,"B. Sekulić (24, Budućnost, Montenegro First League 22-23)"
978,"S. Caturano (32, Potenza, Serie C 22-23)"
979,"V. Kombe (27, Etoile du Sahel, Tunisian Ligue 1 22-23)"
980,"I. Nuhu (21, Eupen, Belgian Pro League 22-23)"
981,"I. Lebedenko (40, Torpedo Moskva, Russian Premier League 22-23)"
982,"J. Mbakogu (30, Triestina, Serie C 22-23)"
983,"Willen (31, Bangkok United, Thai League 1 22-23)"
984,"L. Colombo (21, Lecce, Serie A 22-23)"
985,"L. Rodrigues (23, Mafra, Portugal Segunda Liga 22-23)"
986,"F. Zamora (31, Santos de Guápiles, Costa Rica Primera División 22-23)"
987,"D. Nazon (29, CSKA Sofia, Bulgarian First League 22-23)"
988,"M. Kaufmann (22, Karlsruher SC, 2. Bundesliga 22-23)"
989,"D. Pinzón (29, UMECIT, Panama LPF 2023)"
990,"A. Hunou (29, Angers SCO, Ligue 1 22-23)"
991,"K. Kasemkulvilai (32, Lampang, Thai League 1 22-23)"
992,"J. Goselink (23, Helmond Sport, Eerste Divisie 22-23)"
993,"K. Ansarifard (33, Omonia Nicosia, Cyprus 1. Division 22-23)"
994,"S. Tecl (32, Slavia Praha, Czech Fortuna Liga 22-23)"
995,"K. Doherty (21, Albion Rovers, Scottish League Two 22-23)"
996,"O. Watkins (27, Aston Villa, Premier League 22-23)"
997,"A. Vukušić (31, Kolubara, Serbian SuperLiga 22-23)"
998,"Derley (35, Ratchaburi, Thai League 1 22-23)"
999,"A. Pop (23, Unirea Dej, Romanian Liga II 22-23)"
1000,"J. Murano (33, Potenza, Serie C 22-23)"
1001,"E. Movsesyan (24, Van, Armenian Premier League 22-23)"
1002,"Nélson Oliveira (31, PAOK, Greek Super League 22-23)"
1003,"Osama Faisal (22, National Bank of Egypt, Egyptian Premier League 22-23)"
1004,"M. Dabbur (31, Hoffenheim, Bundesliga 22-23)"
1005,"Thierry Moutinho (32, Levadiakos, Greek Super League 22-23)"
1006,"Hassan Al-Ali (21, Al Ahli, Saudi First Division 22-23)"
1007,"B. Petković (28, Dinamo Zagreb, 1. HNL 22-23)"
1008,"N. Vergos (27, Lamia, Greek Super League 22-23)"
1009,"B. Tashchy (29, Erzgebirge Aue, 3. Liga 22-23)"
1010,"L. N'Diaye (22, Arda, Bulgarian First League 22-23)"
1011,"A. Kashtanov (27, Ural, Russian Premier League 22-23)"
1012,"Yazan Al Naimat (23, Al Ahli, Qatari Stars League 22-23)"
1013,"A. Piu (26, Pro Patria, Serie C 22-23)"
1014,"Ikhsan Fandi (24, BG Pathum United FC, Thai League 1 22-23)"
1015,"M. Cantera (30, Deportivo Maldonado, Uruguay Primera División 2023)"
1016,"Hossam Hassan (29, Smouha, Egyptian Premier League 22-23)"
1017,"M. Glushenkov (23, Lokomotiv Moskva, Russian Premier League 22-23)"
1018,"M. Roginić (27, Katowice, Polish I Liga 22-23)"
1019,"V. Boniface (22, Union Saint-Gilloise, Belgian Pro League 22-23)"
1020,"S. Armenteros (33, Heracles, Eerste Divisie 22-23)"
1021,"K. Corredor (22, Rodez , Ligue 2 22-23)"
1022,"D. Bitton (35, Maccabi Kabilio Jaffa, Liga Leumit 22-23)"
1023,"R. Funes Mori (32, Monterrey, Liga MX 22-23)"
1024,"N. Rusyn (24, Zorya, Ukrainian Premier Liha 22-23)"
1025,"K. McKechnie (22, Queen of the South, Scottish League One 22-23)"
1026,"G. Fulga (19, Unirea Dej, Romanian Liga II 22-23)"
1027,"P. Mortensen (33, AGF, Superliga 22-23)"
1028,"O. Marshal (31, Hapoel Kfar Saba, Liga Leumit 22-23)"
1029,"D. Moreno (37, Once Caldas, Colombian Primera Division 22-23)"
1030,"I. Diomande (28, Al Sahel, Saudi First Division 22-23)"
1031,"E. Macal (32, Santa Lucía, Guatemala Liga Nacional 22-23)"
1032,"A. Jasharovski (31, Renova, North Macedonia First League 22-23)"
1033,"J. Pellegrini (22, Reggiana, Serie C 22-23)"
1034,"V. Letsoalo (30, Sekhukhune United, South Africa PSL 22-23)"
1035,"V. Lisakovich (25, Rubin Kazan', Russian FNL 2 22-23)"
1036,"B. Farioli (25, Central Córdoba SdE, Argentinian Primera División 2023)"
1037,"B. Ogbeche (38, Hyderabad FC, Indian Super League 22-23)"
1038,"R. Sterling (28, Chelsea, Premier League 22-23)"
1039,"J. Paur (30, Spartak Trnava, Slovak Super Liga 22-23)"
1040,"H. Haraldsson (20, København, Superliga 22-23)"
1041,"O. Giménez (33, Sportivo Trinidense, Paraguay Division Profesional 2023)"
1042,"A. Londono (21, Comunicaciones, Guatemala Liga Nacional 22-23)"
1043,"N. Rizzo (29, Giugliano, Serie C 22-23)"
1044,"T. Campbell (23, Stoke City, Championship 22-23)"
1045,"J. Larsson (24, Örebro, Superettan 2023)"
1046,"E. Džeko (37, Internazionale, Serie A 22-23)"
1047,"Byung-Soo Yoo (35, Chonburi, Thai League 1 22-23)"
1048,"Choco Lozano (30, Cádiz, La Liga 22-23)"
1049,"P. González (37, Novara, Serie C 22-23)"
1050,"K. Iheanacho (26, Leicester City, Premier League 22-23)"
1051,"F. Barceló (30, Guaraní, Paraguay Division Profesional 2023)"
1052,"A. Kanté (28, Huesca, La Liga 2 22-23)"
1053,"M. Gayduchyk (23, Veres, Ukrainian Premier Liha 22-23)"
1054,"Kim Yeong-Wook (28, Pocheon, K3 League 2023)"
1055,"G. Panico (26, Lucchese, Serie C 22-23)"
1056,"Y. Begraoui (21, Pau, Ligue 2 22-23)"
1057,"Ricardo Schutte (25, UD Logroñés, Primera División RFEF 22-23)"
1058,"N. Hansen (30, Víkingur Reykjavík, Iceland Besta-Deild Karla 2023)"
1059,"D. Ciofani (37, Cremonese, Serie A 22-23)"
1060,"D. Abiama (24, Greuther Fürth, 2. Bundesliga 22-23)"
1061,"T. De Vincenti (34, Lamia, Greek Super League 22-23)"
1062,"B. Gaal (31, Ajka, NB II 22-23)"
1063,"D. Abdulaye (27, Hồng Lĩnh Hà Tĩnh, V League 1 2023)"
1064,"S. Pierotti (22, Colón, Argentinian Primera División 2023)"
1065,"C. Doman (35, Slatina, Romanian Liga II 22-23)"
1066,"F. Fagúndez (22, Nacional, Uruguay Primera División 2023)"
1067,"R. César (29, Guayaquil City, Ecuador Liga Pro 2023)"
1068,"Devid (27, Kelantan United, Malaysian Super League 2023)"
1069,"S. Terodde (35, Schalke 04, Bundesliga 22-23)"
1070,"F. Platte (27, Paderborn, 2. Bundesliga 22-23)"
1071,"K. Aboubakar (27, Bnei Yehuda, Liga Leumit 22-23)"
1072,"F. Balogun (21, Reims, Ligue 1 22-23)"
1073,"P. Ba (25, Grenoble, Ligue 2 22-23)"
1074,"M. Konaté (31, Rans Nusantara, BRI Liga 1 22-23)"
1075,"Pau Víctor (21, Sabadell, Primera División RFEF 22-23)"
1076,"S. Jovetić (33, Hertha BSC, Bundesliga 22-23)"
1077,"M. Smith (31, Sheffield Wednesday, League One 22-23)"
1078,"I. Rayners (27, Stellenbosch FC, South Africa PSL 22-23)"
1079,"E. Youan (24, Hibernian, Scottish Premiership 22-23)"
1080,"Jon Cabo (22, Bilbao Athletic, Primera División RFEF 22-23)"
1081,"B. Fernández (31, Binacional, Peruvian Liga 1 2023)"
1082,"L. Ratković (26, Javor Ivanjica, Serbian SuperLiga 22-23)"
1083,"A. Rodríguez (27, Delfin, Ecuador Liga Pro 2023)"
1084,"B. Cuesta (34, Melgar, Peruvian Liga 1 2023)"
1085,"A. Valpoort (30, Hebar 1918, Bulgarian First League 22-23)"
1086,"K. Biliński (35, Podbeskidzie Bielsko-Biała, Polish I Liga 22-23)"
1087,"Jin-Su Seo (22, Jeju United, K League 1 2023)"
1088,"O. Zawada (27, Wellington Phoenix, A-League Men 22-23)"
1089,"J. Hugill (30, Rotherham United, Championship 22-23)"
1090,"G. Laborde (29, Nice, Ligue 1 22-23)"
1091,"Miguelete (22, Atlético Baleares, Primera División RFEF 22-23)"
1092,"M. Quinteros (34, Copiapó, Chilean Primera División 2023)"
1093,"G. Nikabadze (32, Samgurali, Erovnuli Liga 2023)"
1094,"D. Gambale (24, Avellino, Serie C 22-23)"
1095,"G. Bruno (31, Sint-Truiden, Belgian Pro League 22-23)"
1096,"D. Cole (28, Barnsley, League One 22-23)"
1097,"A. Smed (26, Hvidovre, Danish 1. Division 22-23)"
1098,"M. Gabbiadini (31, Sampdoria, Serie A 22-23)"
1099,"T. Chancalay (24, Al Wasl, UAE Pro League 22-23)"
1100,"Pablo Marín (19, Real Sociedad B, Primera División RFEF 22-23)"
1101,"Antonio Casas (23, Córdoba, Primera División RFEF 22-23)"
1102,"O. Patrick (27, Carlisle United, League Two 22-23)"
1103,"A. La Gumina (27, Benevento, Serie B 22-23)"
1104,"Andre Clóvis (25, Academico Viseu, Portugal Segunda Liga 22-23)"
1105,"N. Dumitru (31, Bnei Sakhnin, Ligat Ha'al 22-23)"
1106,"S. Kaba (27, Midtjylland, Superliga 22-23)"
1107,"Jackson (24, Egnatia Rrogozhinë, Albanian Premier League 22-23)"
1108,"A. Khalaihal (22, Agudat Sport Ashdod, Liga Leumit 22-23)"
1109,"K. Sowah (23, Club Brugge, Belgian Pro League 22-23)"
1110,"J. Lamy (23, Enosis, Cyprus 1. Division 22-23)"
1111,"A. Jakupović (25, Maribor, 1. SNL 22-23)"
1112,"C. Gondo (26, Ascoli, Serie B 22-23)"
1113,"L. Vekić (28, Gorica, 1. SNL 22-23)"
1114,"L. Bailey (25, Aston Villa, Premier League 22-23)"
1115,"V. Pavlidis (24, AZ, Eredivisie 22-23)"
1116,"Márcio Meira (29, Enosis, Cyprus 1. Division 22-23)"
1117,"R. Pepi (20, Groningen, Eredivisie 22-23)"
1118,"R. Stein (29, Hapoel Petah Tikva, Liga Leumit 22-23)"
1119,"Victor Da Silva (28, Partizani Tirana, Albanian Premier League 22-23)"
1120,"D. Verde (26, Spezia, Serie A 22-23)"
1121,"S. Fatai (27, Sporting Covilhã, Portugal Segunda Liga 22-23)"
1122,"D. Kostadinov (23, Septemvri Sofia, Bulgarian First League 22-23)"
1123,"E. Barry (31, Al Akhdoud, Saudi First Division 22-23)"
1124,"Anderson Lopes (29, Yokohama F. Marinos, J1 2023)"
1125,"N. Martínez (32, Cobán Imperial, Guatemala Liga Nacional 22-23)"
1126,"T. Moffi (24, Nice, Ligue 1 22-23)"
1127,"J. Correa (30, Santos Laguna, Liga MX 22-23)"
1128,"M. Coureur (35, Cherno More, Bulgarian First League 22-23)"
1129,"Thiago Silva (27, Lampang, Thai League 1 22-23)"
1130,"Gerard Moreno (31, Villarreal, La Liga 22-23)"
1131,"C. Lokoli Ngoy (26, Zebbug Rangers, Malta Premier League 22-23)"
1132,"S. Simeri (30, Imolese, Serie C 22-23)"
1133,"Joaquín Muñoz (24, Huesca, La Liga 2 22-23)"
1134,"Jardel (25, Feirense, Portugal Segunda Liga 22-23)"
1135,"F. Kubala (23, Hradec Králové, Czech Fortuna Liga 22-23)"
1136,"L. García (25, AEK Athens, Greek Super League 22-23)"
1137,"G. Raspadori (23, Napoli, Serie A 22-23)"
1138,"J. Hernández (24, Columbus Crew, MLS 2023)"
1139,"C. Baumgartner (23, Hoffenheim, Bundesliga 22-23)"
1140,"D. Florea (35, Voluntari, SuperLiga României 22-23)"
1141,"Ui-Jo Hwang (30, Seoul, K League 1 2023)"
1142,"I. Belfodil (31, Al Gharafa, Qatari Stars League 22-23)"
1143,"R. Capogna (35, Pro Sesto, Serie C 22-23)"
1144,"Soony Saad (30, Penang, Malaysian Super League 2023)"
1145,"C. Tarragona (32, Gimnasia La Plata, Argentinian Primera División 2023)"
1146,"Y. Suzuki (27, Kashima Antlers, J1 2023)"
1147,"W. Kanu (29, Zemplín Michalovce, Slovak Super Liga 22-23)"
1148,"M. Malone (22, Wolfsberger AC, Austrian Bundesliga 22-23)"
1149,"V. Aboubakar (31, Al Nassr, Saudi Professional League 22-23)"
1150,"A. Zeqiri (23, Basel, Swiss Super League 22-23)"
1151,"R. Polievka (26, Dukla Banská Bystrica, Slovak Super Liga 22-23)"
1152,"A. Gningue (24, Teplice, Czech Fortuna Liga 22-23)"
1153,"D. Garmash (33, Dynamo Kyiv, Ukrainian Premier Liha 22-23)"
1154,"D. Tsypchenko (23, Krylya Sovetov, Russian Premier League 22-23)"
1155,"G. Gomez (29, Crotone, Serie C 22-23)"
1156,"G. Burgstaller (34, Rapid Wien, Austrian Bundesliga 22-23)"
1157,"B. Boateng (22, Smouha, Egyptian Premier League 22-23)"
1158,"Á. Czékus (20, Békéscsaba, NB II 22-23)"
1159,"M. Vidosavljević (22, Radnički Kragujevac, Serbian SuperLiga 22-23)"
1160,"C. Johnston (28, Montrose, Scottish League One 22-23)"
1161,"J. Ferrante (27, Cesena, Serie C 22-23)"
1162,"B. Zamostny (31, Duna Aszfalt Tiszakécskei, NB II 22-23)"
1163,"C. Sylla (29, Saburtalo, Erovnuli Liga 2023)"
1164,"Y. Kusano (26, Mito Hollyhock, J2 2023)"
1165,"A. Bouhaddouz (36, MSV Duisburg, 3. Liga 22-23)"
1166,"K. Djoco (27, Bastia, Ligue 2 22-23)"
1167,"R. Mmaee (25, Ferencváros, NB I 22-23)"
1168,"E. López (24, Toluca, Liga MX 22-23)"
1169,"M. Regža (24, Riga FC, Virsliga 2023)"
1170,"Z. Hadji (26, Stade Lausanne-Ouchy, Swiss Challenge League 22-23)"
1171,"Willy Ledesma (34, Córdoba, Primera División RFEF 22-23)"
1172,"G. Kvilitaia (29, APOEL, Cyprus 1. Division 22-23)"
1173,"M. Romero (24, Racing Club, Argentinian Primera División 2023)"
1174,"M. Juma (27, Al Faisaly, Saudi First Division 22-23)"
1175,"S. Essende (25, Caen, Ligue 2 22-23)"
1176,"M. Wada (26, Grulla Morioka, J3 2023)"
1177,"Gerard Oliva (33, Real Balompédica Linense, Primera División RFEF 22-23)"
1178,"Abdulelah Al Shammry (24, Dhamk, Saudi Professional League 22-23)"
1179,"J. Windass (29, Sheffield Wednesday, League One 22-23)"
1180,"C. Rivera (20, Santos de Guápiles, Costa Rica Primera División 22-23)"
1181,"E. Galligani (30, San Donato Tavarnelle, Serie C 22-23)"
1182,"F. Kah (27, Olympiakos, Cyprus 1. Division 22-23)"
1183,"Marco Paixão (38, Altay, Turkish 1. Lig 22-23)"
1184,"G. May (25, Danubio, Uruguay Primera División 2023)"
1185,"D. Shabanhaxhaj (22, Mura, 1. SNL 22-23)"
1186,"M. Aćimović (25, Leotar, Bosnian Premier League 22-23)"
1187,"G. Gabedava (33, Hapoel Acre, Liga Leumit 22-23)"
1188,"A. Erceg (33, Istra 1961, 1. HNL 22-23)"
1189,"L. Cohen (30, Khon Kaen United, Thai League 1 22-23)"
1190,"Daniel dos Anjos (27, Tondela, Portugal Segunda Liga 22-23)"
1191,"M. Mešanović (32, Nieciecza, Polish I Liga 22-23)"
1192,"K. Kanatsızkuş (26, Rizespor, Turkish 1. Lig 22-23)"
1193,"J. Carranza (24, Xinabajul, Guatemala Liga Nacional 22-23)"
1194,"E. Adebayo (25, Luton Town, Championship 22-23)"
1195,"M. Barragán (31, Puebla, Liga MX 22-23)"
1196,"C. Benschop (33, De Graafschap, Eerste Divisie 22-23)"
1197,"L. Martínez (31, Cobán Imperial, Guatemala Liga Nacional 22-23)"
1198,"J. Adeniyi (30, Tuzlaspor, Turkish 1. Lig 22-23)"
1199,"Anderson Silva (25, Vitória Guimarães, Primeira Liga 22-23)"
1200,"S. Vranješ (36, Sloboda Tuzla, Bosnian Premier League 22-23)"
1201,"Léo Ceará (28, Cerezo Osaka, J1 2023)"
1202,"W. Ramdhani (24, Persita, BRI Liga 1 22-23)"
1203,"J. Sánchez (27, Comunicaciones, Guatemala Liga Nacional 22-23)"
1204,"J. Carranza (23, Philadelphia Union, MLS 2023)"
1205,"A. Haboubi (21, CS Sfaxien, Tunisian Ligue 1 22-23)"
1206,"A. Assal (21, AFC Wimbledon, League Two 22-23)"
1207,"M. Rijks (20, Utrecht II, Eerste Divisie 22-23)"
1208,"N. Dovedan (28, Austria Wien, Austrian Bundesliga 22-23)"
1209,"Marwan Hamdi (26, Al Masry, Egyptian Premier League 22-23)"
1210,"L. Montebello (27, Hamrun Spartans, Malta Premier League 22-23)"
1211,"M. Coda (34, Genoa, Serie B 22-23)"
1212,"M. Batshuayi (29, Fenerbahçe, Süper Lig 22-23)"
1213,"N. Okafor (22, Salzburg, Austrian Bundesliga 22-23)"
1214,"Ronivaldo (34, Blau-Weiß Linz, Austrian 2. Liga 22-23)"
1215,"D. Calvert-Lewin (26, Everton, Premier League 22-23)"
1216,"I. Shkurin (23, Maccabi Petah Tikva, Liga Leumit 22-23)"
1217,"B. Manu (26, Darmstadt 98, 2. Bundesliga 22-23)"
1218,"L. López (40, Sarmiento, Argentinian Primera División 2023)"
1219,"A. Baroan (22, Botev Plovdiv, Bulgarian First League 22-23)"
1220,"L. Grozurek (31, First Vienna, Austrian 2. Liga 22-23)"
1221,"M. Le Bihan (33, Dijon, Ligue 2 22-23)"
1222,"F. Bundgaard (18, Randers, Superliga 22-23)"
1223,"S. Vladi (22, Aarau, Swiss Challenge League 22-23)"
1224,"D. Toktosunov (20, Neftchi, Kyrgyz Premier League 2023)"
1225,"J. Aribo (26, Southampton, Premier League 22-23)"
1226,"Jefferson (28, Gzira United, Malta Premier League 22-23)"
1227,"N. Guerra (24, Universidad de Chile, Chilean Primera División 2023)"
1228,"R. Inglese (31, Parma, Serie B 22-23)"
1229,"D. Vanzeir (24, Union Saint-Gilloise, Belgian Pro League 22-23)"
1230,"Y. Wissa (26, Brentford, Premier League 22-23)"
1231,"D. Bradley (28, Antigua GFC, Guatemala Liga Nacional 22-23)"
1232,"M. Niass (28, Al Mokawloon, Egyptian Premier League 22-23)"
1233,"T. Nichols (29, Gillingham, League Two 22-23)"
1234,"J. Córdoba (24, Guanacasteca, Costa Rica Primera División 22-23)"
1235,"S. Alfred (25, Hapoel Hadera, Ligat Ha'al 22-23)"
1236,"A. Fejős (26, Csákvári TK, NB II 22-23)"
1237,"Aymen Hussein (27, Al Markhiya, Qatari Stars League 22-23)"
1238,"S. Hogan (31, Birmingham City, Championship 22-23)"
1239,"Hernandes (23, Incheon United, K League 1 2023)"
1240,"Kike Márquez (33, Córdoba, Primera División RFEF 22-23)"
1241,"D. Gravenberch (29, Karmiotissa, Cyprus 1. Division 22-23)"
